code,name
900110,이스트아시아홀딩스
900270,헝셩그룹
900260,로스웰
900290,GRT
900300,오가닉티코스메틱
900310,컬러레이
900340,윙입푸드
000250,삼천당제약
000440,중앙에너비스
001000,신라섬유
001540,안국약품
001810,무림SP
001840,이화공영
002230,피에스텍
002290,삼일기업공사
002680,한탑
002800,신신제약
003100,선광
003310,대주산업
003380,하림지주
003800,에이스침대
004590,한국가구
004650,창해에탄올
004780,대륙제관
005160,동국산업
005290,동진쎄미켐
005670,푸드웰
005710,대원산업
005860,한일사료
005990,매일홀딩스
006050,국영지앤엠
006140,피제이전자
006580,대양제지
006620,동구바이오제약
006730,서부T&D
006910,보성파워텍
006920,모헨즈
007330,푸른저축은행
007370,진양제약
007390,네이처셀
007530,영신금속
007680,대원
007720,대명소노시즌
007770,한일화학
007820,에스엠코어
008290,원풍물산
008370,원풍
008470,부스타
008830,대동기어
009300,삼아제약
009520,포스코엠텍
009620,삼보산업
009730,코센
009780,엠에스씨
010170,대한광통신
010240,흥국
010280,쌍용정보통신
010470,오리콤
011040,경동제약
011080,형지I&C
011320,유니크
011370,서한
011560,세보엠이씨
012340,뉴인텍
012620,원일특강
012700,리드코프
012790,신일제약
012860,모베이스전자
013030,하이록코리아
013120,동원개발
013310,아진산업
013720,CBI
013810,스페코
013990,아가방컴퍼니
014100,메디앙스
014190,원익큐브
014200,광림
014470,부방
014570,고려제약
014620,성광벤드
014940,오리엔탈정공
014970,삼륭물산
015710,코콤
015750,성우하이텍
016100,리더스코스메틱
016250,SGC이테크건설
016600,큐캐피탈
016670,인피니티엔티
016790,현대사료
016920,카스
017000,신원종합개발
017250,인터엠
017480,삼현철강
017510,세명전기
017650,대림제지
017890,한국알콜
018000,유니슨
018120,진로발효
018290,브이티지엠피
018310,삼목에스폼
018620,우진비앤지
018680,서울제약
018700,바른손
019010,베뉴지
019210,와이지-원
019540,일지테크
019550,SBI인베스트먼트
019570,리더스 기술투자
019590,엠벤처투자
019660,글로본
019770,서연탑메탈
019990,에너토크
020180,대신정보통신
020400,대동금속
020710,시공테크
021040,대호특수강
021045,대호특수강우
021080,에이티넘인베스트
021320,KCC건설
021650,한국큐빅
021880,메이슨캐피탈
022100,포스코 ICT
022220,정산애강
023160,태광
023410,유진기업
023440,제일제강
023460,CNH
023600,삼보판지
023760,한국캐피탈
023770,플레이위드
023790,동일철강
023900,풍국주정
023910,대한약품
024060,흥구석유
024120,KB오토시스
024740,한일단조
024800,유성티엔에스
024810,이화전기
024830,세원물산
024840,KBI메탈
024850,피에스엠씨
024880,케이피에프
024910,경창산업
024940,PN풍년
024950,삼천리자전거
025320,시노펙스
025440,대성엘텍
025550,한국선재
025770,한국정보통신
025870,신라에스지
025880,케이씨피드
025900,동화기업
025950,동신건설
025980,아난티
026040,제이에스티나
026150,특수건설
026910,광진실업
027040,서울전자통신
027050,코리아나
027360,아주IB투자
027580,상보
027710,팜스토리
027830,대성창투
028080,휴맥스홀딩스
028300,에이치엘비
029480,릭스솔루션
029960,코엔텍
030190,NICE평가정보
030350,드래곤플라이
030520,한글과컴퓨터
030530,원익홀딩스
030960,양지사
031310,아이즈비전
031330,에스에이엠티
031390,녹십자셀
031510,오스템
031860,엔에스엔
031980,피에스케이홀딩스
032080,아즈텍WB
032190,다우데이타
032280,삼일
032300,한국파마
032500,케이엠더블유
032540,TJ미디어
032580,피델릭스
032620,유비케어
032680,소프트센
032685,소프트센우
032750,삼진
032790,엠젠플러스
032800,판타지오
032820,우리기술
032850,비트컴퓨터
032860,휴먼엔
032940,원익
032960,동일기연
032980,바이온
033050,제이엠아이
033100,제룡전기
033110,코너스톤네트웍스
033130,디지틀조선
033160,엠케이전자
033170,시그네틱스
033200,모아텍
033230,인성정보
033290,코웰패션
033310,엠투엔
033320,제이씨현시스템
033340,좋은사람들
033500,동성화인텍
033540,파라텍
033560,블루콤
033640,네패스
033790,스카이문스테크놀로지
033830,티비씨
034230,파라다이스
034810,해성산업
034940,조아제약
034950,한국기업평가
035080,인터파크
035200,프럼파스트
035290,골드앤에스
035460,기산텔레콤
035600,KG이니시스
035610,솔본
035620,바른손이앤에이
035760,CJ ENM
035810,이지홀딩스
035890,서희건설
035900,JYP Ent.
036000,예림당
036010,아비코전자
036030,케이티알파
036090,위지트
036120,SCI평가정보
036170,클라우드에어
036180,지더블유바이텍
036190,금화피에스시
036200,유니셈
036480,대성미생물
036490,SK머티리얼즈
036540,SFA반도체
036560,영풍정밀
036620,감성코퍼레이션
036630,세종텔레콤
036640,HRS
036670,KCI
036690,코맥스
036710,심텍홀딩스
036800,나이스정보통신
036810,에프에스티
036830,솔브레인홀딩스
036890,진성티이씨
036930,주성엔지니어링
037030,파워넷
037070,파세코
037230,한국팩키지
037330,인지디스플레
037350,성도이엔지
037370,EG
037400,우리조명
037440,희림
037460,삼지전자
037760,쎄니트
037950,엘컴텍
038010,제일테크노스
038060,루멘스
038070,서린바이오
038110,에코플라스틱
038290,마크로젠
038340,UCI
038390,레드캡투어
038460,바이오스마트
038500,삼표시멘트
038530,골드퍼시픽
038540,상상인
038620,위즈코프
038680,에스넷
038870,에코바이오
038880,아이에이
038950,파인디지털
039010,현대에이치티
039020,이건홀딩스
039030,이오테크닉스
039200,오스코텍
039230,에이아이비트
039240,경남스틸
039290,인포뱅크
039310,세중
039340,한국경제TV
039420,케이엘넷
039440,에스티아이
039560,다산네트웍스
039610,화성밸브
039670,스포츠서울
039740,한국정보공학
039830,오로라
039840,디오
039860,나노엔텍
039980,리노스
040160,누리플렉스
040300,YTN
040350,큐로컴
040420,정상제이엘에스
040610,SG&G
040910,아이씨디
041020,폴라리스오피스
041140,넥슨지티
041190,우리기술투자
041440,현대에버다임
041460,한국전자인증
041510,에스엠
041520,이라이콤
041590,젬백스지오
041830,인바디
041910,에스텍파마
041920,메디아나
041930,동아화성
041960,코미팜
042000,카페24
042040,케이피엠테크
042110,에스씨디
042370,비츠로테크
042420,네오위즈홀딩스
042500,링네트
042510,라온시큐어
042520,한스바이오메드
042600,새로닉스
042940,상지카일룸
043090,큐브앤컴퍼니
043100,솔고바이오
043150,바텍
043200,파루
043220,에이치엘비파워
043260,성호전자
043340,에쎈테크
043360,디지아이
043370,피에이치에이
043590,크로바하이텍
043610,지니뮤직
043650,국순당
043710,서울리거
043910,자연과환경
044060,조광ILI
044180,KD
044340,위닉스
044480,블루베리 NFT
044490,태웅
044780,에이치케이
044960,이글벳
045060,오공
045100,한양이엔지
045300,성우테크론
045340,토탈소프트
045390,대아티아이
045510,정원엔시스
045520,크린앤사이언스
045660,에이텍
045890,GV
045970,코아시아
046070,코다코
046110,한일네트웍스
046120,오르비텍
046140,SBS콘텐츠허브
046210,파나진
046310,백금T&A
046390,삼화네트웍스
046440,KG모빌리언스
046890,서울반도체
046940,우원개발
046970,우리로
047080,한빛소프트
047310,파워로직스
047560,이스트소프트
047770,코데즈컴바인
047820,초록뱀미디어
047920,에이치엘비제약
048260,오스템임플란트
048410,현대바이오
048430,유라테크
048470,대동스틸
048530,인트론바이오
048550,SM C&C
048770,TPC
048830,엔피케이
048870,시너지이노베이션
048910,대원미디어
049070,인탑스
049080,기가레인
049120,파인디앤씨
049180,셀루메드
049430,코메론
049470,SGA
049480,오픈베이스
049520,유아이엘
049550,잉크테크
049630,재영솔루텍
049720,고려신용정보
049830,승일
049950,미래컴퍼니
049960,쎌바이오텍
050090,휘닉스소재
050110,캠시스
050120,ES큐브
050320,아래스
050540,한국코퍼레이션
050760,에스폴리텍
050860,아세아텍
050890,쏠리드
050960,수산아이앤티
051160,지어소프트
051360,토비스
051370,인터플렉스
051380,피씨디렉트
051390,YW
051490,나라엠앤디
051500,CJ프레시웨이
051780,큐로홀딩스
051980,중앙디앤엠
052020,에스티큐브
052190,세영디앤씨
052220,iMBC
052260,현대바이오랜드
052300,초록뱀컴퍼니
052330,코텍
052400,코나아이
052420,오성첨단소재
052460,아이크래프트
052600,한네트
052670,제일바이오
052710,아모텍
052770,아이톡시
052790,액토즈소프트
052860,아이앤씨
052900,KMH하이텍
053030,바이넥스
053050,지에스이
053060,세동
053080,원방테크
053110,소리바다
053160,프리엠스
053260,금강철강
053270,구영테크
053280,예스24
053290,NE능률
053300,한국정보인증
053350,이니텍
053450,세코닉스
053580,웹케시
053590,한국테크놀로지
053610,프로텍
053620,태양
053660,현진소재
053700,삼보모터스
053800,안랩
053950,경남제약
053980,오상자이엘
054040,한국컴퓨터
054050,농우바이오
054090,삼진엘앤디
054180,메디콕스
054210,이랜텍
054220,비츠로시스
054300,팬스타엔터프라이즈
054410,케이피티유
054450,텔레칩스
054540,삼영엠텍
054620,APS홀딩스
054630,에이디칩스
054670,대한뉴팜
054780,키이스트
054800,아이디스홀딩스
054920,한컴위드
054930,유신
054940,엑사이엔씨
054950,제이브이엠
056000,COWON
056080,유진로봇
056090,유앤아이
056190,에스에프에이
056360,코위버
056700,신화인터텍
056730,CNT85
057030,YBM넷
057540,옴니시스템
057680,티사이언티픽
057880,피에이치씨
058110,멕아이씨에스
058220,아리온
058400,KNN
058420,제이웨이
058450,일야
058470,리노공업
058530,슈펙스비앤피
058610,에스피지
058630,엠게임
058820,CMG제약
058970,엠로
059090,미코
059100,아이컴포넌트
059120,아진엑스텍
059210,메타바이오메드
059270,해성티피씨
060150,인선이엔티
060230,이그잭스
060240,룽투코리아
060250,NHN한국사이버결제
060260,뉴보텍
060280,큐렉소
060300,레드로버
060310,3S
060370,KT서브마린
060380,동양에스텍
060480,국일신동
060540,에스에이티
060560,홈센타홀딩스
060570,드림어스컴퍼니
060590,씨티씨바이오
060720,KH바텍
060850,영림원소프트랩
060900,대한그린파워
061040,알에프텍
061250,화일약품
061970,엘비세미콘
062860,티엘아이
062970,피피아이
063080,게임빌
063170,서울옥션
063440,SM Life Design
063570,한국전자금융
063760,이엘피
064090,에프앤리퍼블릭
064240,홈캐스트
064260,다날
064290,인텍플러스
064480,브리지텍
064510,에코마이스터
064520,바른전자
064550,바이오니아
064760,티씨케이
064800,젬백스링크
064820,케이프
064850,에프앤가이드
065060,지엔코
065130,탑엔지니어링
065150,엠피대산
065170,넥스트BT
065350,신성델타테크
065370,위세아이텍
065420,에스아이리소스
065440,이루온
065450,빅텍
065500,오리엔트정공
065510,휴비츠
065530,와이어블
065560,녹원씨엔아이
065570,삼영이엔씨
065650,메디프론
065660,안트로젠
065680,우주일렉트로
065690,파커스
065710,서호전기
065770,CS
065950,웰크론
066110,한프
066130,하츠
066310,큐에스아이
066360,체리부로
066410,버킷스튜디오
066430,와이오엠
066590,우수AMS
066620,국보디자인
066670,디스플레이텍
066700,테라젠이텍스
066790,씨씨에스
066900,디에이피
066910,손오공
066970,엘앤에프
066980,이엔코퍼레이션
067000,조이시티
067010,이씨에스
067080,대화제약
067160,아프리카TV
067170,오텍
067280,멀티캠퍼스
067290,JW신약
067310,하나마이크론
067390,아스트
067570,엔브이에이치코리아
067630,에이치엘비생명과학
067730,로지시스
067770,세진티에스
067900,와이엔텍
067920,이글루시큐리티
067990,도이치모터스
068050,팬엔터테인먼트
068240,다원시스
068330,일신바이오
068760,셀트리온제약
068790,DMS
068930,디지털대성
068940,아이씨케이
069080,웹젠
069110,코스온
069140,누리플랜
069330,유아이디
069410,엔텔스
069510,에스텍
069540,라이트론
069920,아이에스이커머스
070300,엑스큐어
070590,한솔인티큐브
071200,인피니트헬스케어
071280,로체시스템즈
071460,위니아딤채
071670,에이테크솔루션
071850,캐스텍코리아
072020,중앙백신
072470,우리산업홀딩스
072520,제넨바이오
072770,율호
072870,메가스터디
072950,빛샘전자
072990,에이치시티
073010,케이에스피
073110,엘엠에스
073190,듀오백
073490,이노와이어리스
073540,에프알텍
073560,우리손에프앤지
073570,WI
073640,테라사이언스
074430,아미노로직스
074600,원익QnC
075130,플랜티넷
075970,동국알앤에스
076080,웰크론한텍
076610,해성옵틱스
077360,덕산하이메탈
078020,이베스트투자증권
078070,유비쿼스홀딩스
078130,국일제지
078140,대봉엘에스
078150,HB테크놀러지
078160,메디포스트
078340,컴투스
078350,한양디지텍
078590,OQP
078600,대주전자재료
078650,지나인제약
078860,아이오케이
078890,가온미디어
078940,코드네이처
079000,와토스코리아
079170,한창산업
079190,EMW
079370,제우스
079650,서산
079810,디이엔티
079940,가비아
079950,인베니아
079960,동양이엔피
079970,투비소프트
080000,에스엔유
080010,이상네트웍스
080160,모두투어
080220,제주반도체
080420,모다이노칩
080440,에스제이케이
080470,성창오토텍
080520,오디텍
080530,코디
080580,오킨스전자
080720,한국유니온제약
